date,theater,company,title,genre,author,composer,id
1781-06-28,Bth,Court,Richard der Dritte,Trauerspiel,Weiße,,
1781-06-28,Kth,French,Le Mazet,Opéra comique,Anseaume,Duni,
1781-06-28,Kth,French,Crispin médecin,Comédie,Hauteroche,,
1781-06-29,,,Theaters closed,,,,
1781-06-30,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,,
1781-06-30,Bth,Court,Der Dichterling,Lustspiel,Eberl,,
1781-06-30,Kth,French,Orphée et Euridice,Tragédie-opéra,Calzabigi,Gluck,
1781-07-01,Bth,Court,Der Dichterling,Lustspiel,Eberl,,
1781-07-01,Bth,Court,Der Faßbinder,Singspiel,Poinsinet,Philidor,
1781-07-01,Kth,French,Orphée et Euridice,Tragédie-opéra,Calzabigi,Gluck,
1781-07-02,Bth,Court,Juliane von Lindorak,Lustspiel,Gozzi,,
1781-07-02,Bth,Court,Die abgenöthige Einwilligung,Lustspiel,Guyot de Merville,,
1781-07-02,Kth,Preßburg,Das Gärtnermädchen von Fraskati,Singspiel,Livigni,Paisiello,
1781-07-02,Kth,Preßburg,Die Faßbinder,Ballet,unknown,unknown,
1781-07-03,Bth,Court,Die Ungetreuen,Lustspiel,Barthe,,
1781-07-03,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,
1781-07-03,Kth,French,La Colonie,Opéra comique,unknown,Framery,
1781-07-03,Kth,French,"Crispin, Rival de son maître",Comédie,Lesage,,
1781-07-04,Bth,Court,Der Graf von Walltron,Trauerspiel,Möller,,
1781-07-04,,Preßburg,Das Gärtnermädchen von Fraskati,Singspiel,Livigni,Paisiello,
1781-07-04,Kth,Preßburg,Bauern verstehn nicht Spaß,Ballet,unknown,unknown,
1781-07-05,Bth,Court,Die unversehene Wette,Lustspiel,Sedaine,,
1781-07-05,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-07-05,Kth,French,La Colonie,Opéra comique,unknown,Framery,
1781-07-05,Kth,French,Les Deux Avares,Opéra comique,Falbaire de Quingey,Grétry,
1781-07-06,,,Theaters closed,,,,
1781-07-07,Bth,Court,Der Dienstfertige,Lustspiel,La Salle,,
1781-07-07,Bth,Court,Der Dichterling,Lustspiel,Eberl,,
1781-07-07,Kth,French,Le Tout en peu,Comédie,unknown,,
1781-07-07,Kth,French,"Les Menechmes, ou les Jumeaux",Comédie,Regnard,,
