id,title,sort_title,genre,notes,url
115,Dupuis et Desronais,dupuis et desronais,Comédie,"According to CÉSAR, first performed in Paris in 1759.",https://books.google.com/books?id=xKsixR1hRC0C&pg=PA1#v=onepage&q&f=false
107,L'École des femmes,ecole des femmes,Comédie,First performed in 1662. The Viennese playbook at the link is dated 1752.,https://books.google.com/books?id=SLhLAAAAcAAJ&pg=PA1#v=onepage&q&f=false
22,Edelmuth in Niedrigkeit,edelmuth in niedrigkeit,Lustspiel,The playbook at the link (ÖNB) was published in Leipzig in 1777.,https://books.google.com/books?id=RcJTAAAAcAAJ&pg=PA1#v=onepage&q&f=false
155,Edwin und Emma,edwin und emma,Schauspiel,Schraembl is principally known as a cartographer.,
286,Die eifersüchtige Ehefrau,eifersuechtige ehefrau,,Based on The Jealous Wife by George Colman the Elder. First performed in the Kärtnertortheater on 10 Dec 1769.,
44,Der eifersüchtige Liebhaber,eifersuechtige liebhaber,Singspiel,"German adaptation of L'amant jaloux, ou Les fausses apparences",
133,Die eingebildeten Philosophen,eingebildeten philosophen,Singspiel,German version of I filosofi immaginari (1779),
199,Elfride,elfride,Trauerspiel,From Mason's Elfrida (1752).,
111,Elle a raison,elle a raison,Comédie,"Full title in Schletter: Elle a Raison, ou la Femme, comme il n'y en a guverres. No Google hit on this title except in Bender, apparently derived from Schletter. This title seems not to be in Schink's list. ""guverre"" seems not to be a French word. It should probably be ""la Femme, comme il n'y en a guères"", but no hits on this as the title of a comedy. There is no match for this title on CÉSAR.There is a story by d'Abancourt (pub. 1778) ""Le Phénix, ou la Femme comme il n'y en a guères."" Cf. also Voltaire's La Femme qui a Raison (pub. 1759)?",
90,Emilia Galotti,emilia galotti,Trauerspiel,,
240,L'Epoux par supercherie,epoux par supercherie,Comédie,First performed in Paris on 9 Mar 1744.,
210,Die Eroberung von Saint-Lucie,eroberung von saint-lucie,Lustspiel,"Adapted from Müller von Friedberg, La Prise de Sainte-Lucie. Performed only three times.",https://books.google.com/books?id=4M5UAAAAcAAJ&pg=PA1#v=onepage&q&f=false
225,"L'Erreur d'un moment, ou la Suite de Julie","erreur d'un moment, ou la suite de julie",Comédie mêlée d'ariettes,First performed in Paris on 14 Jun 1773.,https://books.google.com/books?id=08doAAAAcAAJ&pg=PA1#v=onepage&q&f=false
40,Erwine von Steinheim,erwine von steinheim,Trauerspiel,,
148,"Eugenie, oder Die Tugend in Gefahr","eugenie, oder die tugend in gefahr",Trauerspiel,From Beaumarchais's Eugénie (1767),
242,Les Evénements imprévus,evenements imprevus,Comédie mêlée d'ariettes,First performed at Versailles on 11 Nov 1779.,https://books.google.com/books?id=A_xDAAAAYAAJ&newbks=1&pg=PP7#v=onepage&q&f=false
238,Die Familie,familie,Schauspiel,Roles of Gemmingen and Schröder?,
73,Der Faßbinder,faßbinder,Singspiel,,
170,Die Faßbinder,faßbinder,Ballet,"There is a reference to a one-act ballet Die Faßbinder in Westenrieder's Jahrbuch der Menschengeschichte in Bayrern (1782), in a list of ""Ballete von Hrn. Hornung, der im April 1780 von Regensburg abging"", here:https://books.google.com/books?id=p9ZSzsm9QAoC&pg=PA238#v=onepage&q&f=false",
41,La Fausse Magie,fausse magie,Comédie mêlée d'ariettes,First performed in Paris on 1 Feb 1775.,https://books.google.com/books?id=EI87AAAAcAAJ&pg=PA1#v=onepage&q&f=false
158,La Fausse Suivante,fausse suivante,Comédie,First performed in Paris on 8 Jul 1724.,https://books.google.com/books?id=AsGZFur4MScC&pg=PA1#v=onepage&q&f=false
213,La Fée Urgèle,fee urgèle,Comédie mêlée d'ariettes,First performed at Fontainebleau on 26 Oct 1765.,https://books.google.com/books?id=gdA5AAAAcAAJ&pg=PA1#v=onepage&q&f=false
6,Die Feldmühle,feldmuehle,Lustspiel,,
267,La Fenisse,fenisse,Opéra comique,No work with this title on CÉSAR.,
161,Das Findelkind,findelkind,Lustspiel,,
105,Der flatterhafte Ehemann,flatterhafte ehemann,Lustspiel,Adapted from Cibber's The Careless Husband,
91,Les Folies amoureuses,folies amoureuses,Comédie,First dated perfomance in Paris on 15 Jan 1704.,https://books.google.com/books?id=PCJ6vxKlgUAC&pg=PP5#v=onepage&q&f=false
131,Les Fourberies de Scapin,fourberies de scapin,Comédie,First performed in Paris on 24 May 1671.,https://books.google.com/books?id=kU6P-a5NckAC&pg=PA5#v=onepage&q&f=false
