"date","theater","company","title","genre","author","composer","id"
1781-05-26,"Kth","French","Le Milicien","Comédie","Anseaume","Duni",""
1781-05-27,"Bth","Court","Der argwöhnische Ehemann","Lustspiel","Gotter",NA,""
1781-05-27,"Kth","French","Le Tartuffe","Comédie","Molière",NA,""
1781-05-27,"Kth","French","Rose et Colas","Opéra comique","Sedaine","Monsigny",""
1781-05-28,"Bth","Court","Die Widersprecherin","Lustspiel","Dufresny",NA,""
1781-05-28,"Bth","Court","Die eingebildeten Philosophen","Singspiel","Bertati","Paisiello",""
1781-05-29,"Bth","Court","Der Schmuck","Lustspiel","Sprickmann",NA,""
1781-05-29,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-05-29,"Kth","French","Monsieur de St. Charles","Comédie","Gernevalde",NA,""
1781-05-30,"Bth","Court","Die Trauer","Lustspiel","Hauteroche",NA,""
1781-05-30,"Bth","Court","Adrast und Isidore, oder die Nachtmusik","Singspiel","Bretzner","Miča",""
1781-05-31,"Bth","Court","Romeo und Julie","Trauerspiel","Shakespeare",NA,""
1781-05-31,"Kth","French","Le Tartuffe","Comédie","Molière",NA,""
1781-05-31,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-06-01,"Bth","unknown","Hanns bleibt Hanns, oder der Bauer, ein Fürst","Lustspiel","Schink",NA,""
1781-06-01,"Bth","unknown","Die Geschwisterliebe","Schauspiel","Weiße",NA,""
1781-06-02,"Bth","Court","Der Herr Gevatter","Lustspiel","Prévost",NA,""
1781-06-02,"Bth","Court","Die eingebildeten Philosophen","Singspiel","Bertati","Paisiello",""
1781-06-02,"Kth","French","Le Legataire universel","Comédie","Regnard",NA,""
1781-06-02,"Kth","French","Le Huron","Opéra comique","Marmontel","Grétry",""
1781-06-03,NA,NA,"Theaters closed for Pentecost (Pfingsten)",NA,NA,NA,""
1781-06-04,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-06-04,"Kth","French","Le Huron","Opéra comique","Marmontel","Grétry",""
1781-06-04,"Kth","French","Le Page étourdi","Comédie","unknown",NA,""
1781-06-05,"Bth","Court","Eugenie, oder Die Tugend in Gefahr","Trauerspiel","Beaumarchais",NA,""
1781-06-05,"Bth","Court","Die Rechnung ohne den Wirth","Lustspiel","Schletter",NA,""
1781-06-06,"Bth","Court","Die Liebe unter den Handwerksleuten","Singspiel","Goldoni","Gassmann",""
1781-06-07,"Bth","Court","Die Nebenbuhler","Lustspiel","Sheridan",NA,""
1781-06-07,"Kth","French","Zémire et Azor","Opéra comique","Marmontel","Grétry",""
1781-06-08,NA,NA,"Theaters closed",NA,NA,NA,""
1781-06-09,"Bth","Court","Richard der Dritte","Trauerspiel","Weiße",NA,""
1781-06-09,"Kth","French","Jeannot et Colin","Comédie","Voltaire",NA,""
1781-06-09,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-06-10,"Bth","Court","Die Wölfe in der Heerde","Lustspiel","Stephanie d. J.",NA,""
1781-06-10,"Kth","French","Zémire et Azor","Opéra comique","Marmontel","Grétry",""
1781-06-11,"Bth","Court","Die Wirthschaftlerinn","Lustspiel","Stephanie d. J.",NA,""
1781-06-11,"Bth","Court","Die abgeredte Zauberey","Singspiel","Marmontel","Grétry",""
1781-06-11,"Kth","unknown","Concert, Floravante Agostinelli",NA,NA,NA,""
1781-06-12,"Bth","Court","Edwin und Emma","Schauspiel","Schraembl",NA,""
1781-06-12,"Kth","French","Le Sorcier","Opéra comique","Poinsinet","Philidor",""
1781-06-12,"Kth","French","Le Mari retrouvé","Comédie","Dancourt",NA,""
1781-06-13,"Bth","Court","Die verfolgte Unbekannte","Singspiel","Petrosellini","Anfossi",""
1781-06-14,NA,NA,"Theaters closed (Corpus Christi)",NA,NA,NA,""
1781-06-15,NA,NA,"Theaters closed",NA,NA,NA,""
1781-06-16,"Bth","Court","Die heimliche Heyrath","Lustspiel","Colman",NA,""
1781-06-16,"Kth","French","Adelaide, oder die Antipathie gegen die Liebe","Opéra comique","Marmontel","Grétry",""
1781-06-17,"Bth","Court","Die heimliche Heyrath","Lustspiel","Colman",NA,""
1781-06-17,"Kth","French","La Fausse Magie","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-06-17,"Kth","French","La Fausse Suivante","Comédie","Marivaux",NA,""
1781-06-18,"Bth","Court","Die verfolgte Unbekannte","Singspiel","Petrosellini","Anfossi",""
1781-06-19,"Bth","Court","König Lear","Trauerspiel","Shakespeare",NA,""
1781-06-19,"Kth","French","L'Ami de la maison","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-06-19,"Kth","French","Les Trois Frères rivaux","Comédie","La Font",NA,""
1781-06-20,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-06-20,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-06-20,"Kth","French","L'Ami de la maison","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-06-21,"Bth","Court","Der argwöhnische Ehemann","Lustspiel","Gotter",NA,""
1781-06-21,"Kth","French","Tom Jones","Opéra comique","Poinsinet","Philidor",""
1781-06-22,NA,NA,"Theaters closed",NA,NA,NA,""
1781-06-23,"Bth","Court","Das Findelkind","Lustspiel","Brühl",NA,""
1781-06-23,"Bth","Court","Yariko","Trauerspiel","Pelzel",NA,""
1781-06-23,"Kth","French","La Fausse Magie","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-06-23,"Kth","French","La Pupille","Comédie","Fagan",NA,""
1781-06-24,"Bth","Court","Das Findelkind","Lustspiel","Brühl",NA,""
1781-06-24,"Bth","Court","Der Wittwer","Lustspiel","Carmontelle",NA,""
1781-06-24,"Kth","French","Le Déserteur","Drame mêlée de musique","Sedaine","Monsigny",""
1781-06-25,"Bth","Court","Nacht und Ungefähr","Lustspiel","Capacelli",NA,""
1781-06-25,"Bth","Court","Die eingebildeten Philosophen","Singspiel","Bertati","Paisiello",""
1781-06-26,"Bth","Court","Die heimliche Heyrath","Lustspiel","Colman",NA,""
1781-06-27,"Bth","Court","Die verfolgte Unbekannte","Singspiel","Petrosellini","Anfossi",""
1781-06-27,"Kth","Kinder","Zémire et Azor","Opéra comique","Marmontel","Grétry",""
1781-06-28,"Bth","Court","Richard der Dritte","Trauerspiel","Weiße",NA,""
