id,date,theater,company,title,genre,author,composer,notes
297,1781-06-20,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,NA
298,1781-06-20,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
299,1781-06-20,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
300,1781-06-21,Bth,Court,Der argwöhnische Ehemann,Lustspiel,Gotter,NA,NA
301,1781-06-21,Kth,French,Tom Jones,Opéra comique,Poinsinet,Philidor,NA
302,1781-06-22,NA,NA,Theaters closed,NA,NA,NA,NA
303,1781-06-23,Bth,Court,Das Findelkind,Lustspiel,Brühl,NA,NA
304,1781-06-23,Bth,Court,Yariko,Trauerspiel,Pelzel,NA,NA
305,1781-06-23,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
306,1781-06-23,Kth,French,La Pupille,Comédie,Fagan,NA,NA
307,1781-06-24,Bth,Court,Das Findelkind,Lustspiel,Brühl,NA,NA
308,1781-06-24,Bth,Court,Der Wittwer,Lustspiel,Carmontelle,NA,NA
309,1781-06-24,Kth,French,Le Déserteur,Drame mêlé de musique,Sedaine,Monsigny,NA
310,1781-06-25,Bth,Court,Nacht und Ungefähr,Lustspiel,Capacelli,NA,NA
311,1781-06-25,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,NA
312,1781-06-26,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,NA,NA
313,1781-06-27,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,NA
314,1781-06-27,Kth,Kinder,Zémire et Azor,Opéra comique,Marmontel,Grétry,NA
315,1781-06-28,Bth,Court,Richard der Dritte,Trauerspiel,Weiße,NA,NA
316,1781-06-28,Kth,French,Le Mazet,Opéra comique,Anseaume,Duni,NA
317,1781-06-28,Kth,French,Crispin médecin,Comédie,Hauteroche,NA,NA
318,1781-06-29,NA,NA,Theaters closed,NA,NA,NA,NA
319,1781-06-30,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,NA,Final performance
320,1781-06-30,Bth,Court,Der Dichterling,Lustspiel,Eberl,NA,NA
321,1781-06-30,Kth,French,Orphée et Euridice,Tragédie-opéra,Calzabigi,Gluck,NA
322,1781-07-01,Bth,Court,Der Dichterling,Lustspiel,Eberl,NA,NA
323,1781-07-01,Bth,Court,Der Faßbinder,Singspiel,Poinsinet,Philidor,NA
