id,date_id,theater,company,title,genre,author,composer,notes
60,2/8/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
61,2/9/1781,Bth,NA,"Concert, Johann Konrad Schlick and Christian Danner",NA,NA,NA,"""Musikalische Akademie. zum Vortheil Herrn. Schlick. K. M. aus Gotha und Herrn Tanner aus München."""
62,2/10/1781,Bth,Court,Der Hausvater,Lustspiel,Diderot,NA,Only performance in 1781. First performed in Vienna in 1770.
NA,NA,NA,NA,NA,NA,Lessing,NA,NA
63,2/10/1781,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,NA,NA
64,2/10/1781,Kth,Kinder,Adelheid von Ponthieu,Ballet,Noverre,Starzer,"""Adelheit v. Ponthieu, B."""
NA,NA,NA,NA,NA,NA,Vogt,NA,NA
65,2/11/1781,Bth,Court,Die Wildschützen,Lustspiel,Stephanie d. J.,unknown,NA
66,2/11/1781,Kth,French,L'Amoreux de quinze ans,Comédie mêlée d'ariettes,Laujon,Martini,NA
67,2/11/1781,Kth,French,No title,Ballet,unknown,unknown,NA
68,2/12/1781,Bth,Court,Die Pilgrime von Mekka,Singspiel,Dancourt,Gluck,Premiere in the Burgtheater on 26 Jul 1780
NA,NA,NA,NA,NA,NA,Faber,NA,NA
69,2/12/1781,Kth,Kinder,Die natürliche Zauberey,Lustspiel,Weiße,NA,NA
70,2/12/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
71,2/13/1781,Bth,Court,Der Spleen,Lustspiel,Stephanie d. J.,NA,NA
72,2/13/1781,Bth,Court,Der Sklavenhändler von Smyrna,Singspiel,Chamfort,unknown,Premiere. Performed only one more time on 21 Feb before being permanently dropped.
73,2/13/1781,Kth,French,La Bonne Fille,Opéra comique,unknown,unknown,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2/13/1781,Kth,French,Le François à Londres,Comédie,Boissy,NA,NA
